method,scene,target_workers,seed,mode,malicious_ratio,strength,malicious_retained,malicious_total,malicious_report_leakage
QE,Traffic,27,20260820,independent,0.3,0.5,663,663,1.0
PRTD,Traffic,27,20260820,independent,0.3,0.5,663,663,1.0
QE,Traffic,27,20260820,compact,0.3,0.5,663,663,1.0
PRTD,Traffic,27,20260820,compact,0.3,0.5,663,663,1.0
QE,Traffic,27,20260820,onoff,0.3,0.5,324,324,1.0
PRTD,Traffic,27,20260820,onoff,0.3,0.5,324,324,1.0
QE,Traffic,27,20260820,mature_anchor,0.3,0.5,548,548,1.0
PRTD,Traffic,27,20260820,mature_anchor,0.3,0.5,548,548,1.0
QE,Traffic,27,20260821,independent,0.3,0.5,673,673,1.0
PRTD,Traffic,27,20260821,independent,0.3,0.5,673,673,1.0
QE,Traffic,27,20260821,compact,0.3,0.5,673,673,1.0
PRTD,Traffic,27,20260821,compact,0.3,0.5,673,673,1.0
QE,Traffic,27,20260821,onoff,0.3,0.5,342,342,1.0
PRTD,Traffic,27,20260821,onoff,0.3,0.5,342,342,1.0
QE,Traffic,27,20260821,mature_anchor,0.3,0.5,552,552,1.0
PRTD,Traffic,27,20260821,mature_anchor,0.3,0.5,552,552,1.0
QE,Traffic,27,20260822,independent,0.3,0.5,667,667,1.0
PRTD,Traffic,27,20260822,independent,0.3,0.5,667,667,1.0
QE,Traffic,27,20260822,compact,0.3,0.5,667,667,1.0
PRTD,Traffic,27,20260822,compact,0.3,0.5,667,667,1.0
QE,Traffic,27,20260822,onoff,0.3,0.5,324,324,1.0
PRTD,Traffic,27,20260822,onoff,0.3,0.5,324,324,1.0
QE,Traffic,27,20260822,mature_anchor,0.3,0.5,544,544,1.0
PRTD,Traffic,27,20260822,mature_anchor,0.3,0.5,544,544,1.0
QE,Traffic,27,20260823,independent,0.3,0.5,667,667,1.0
PRTD,Traffic,27,20260823,independent,0.3,0.5,667,667,1.0
QE,Traffic,27,20260823,compact,0.3,0.5,667,667,1.0
PRTD,Traffic,27,20260823,compact,0.3,0.5,667,667,1.0
QE,Traffic,27,20260823,onoff,0.3,0.5,326,326,1.0
PRTD,Traffic,27,20260823,onoff,0.3,0.5,326,326,1.0
QE,Traffic,27,20260823,mature_anchor,0.3,0.5,542,542,1.0
PRTD,Traffic,27,20260823,mature_anchor,0.3,0.5,542,542,1.0
QE,Traffic,27,20260824,independent,0.3,0.5,672,672,1.0
PRTD,Traffic,27,20260824,independent,0.3,0.5,672,672,1.0
QE,Traffic,27,20260824,compact,0.3,0.5,672,672,1.0
PRTD,Traffic,27,20260824,compact,0.3,0.5,672,672,1.0
QE,Traffic,27,20260824,onoff,0.3,0.5,332,332,1.0
PRTD,Traffic,27,20260824,onoff,0.3,0.5,332,332,1.0
QE,Traffic,27,20260824,mature_anchor,0.3,0.5,545,545,1.0
PRTD,Traffic,27,20260824,mature_anchor,0.3,0.5,545,545,1.0
QE,Traffic,27,20260825,independent,0.3,0.5,677,677,1.0
PRTD,Traffic,27,20260825,independent,0.3,0.5,677,677,1.0
QE,Traffic,27,20260825,compact,0.3,0.5,677,677,1.0
PRTD,Traffic,27,20260825,compact,0.3,0.5,677,677,1.0
QE,Traffic,27,20260825,onoff,0.3,0.5,337,337,1.0
PRTD,Traffic,27,20260825,onoff,0.3,0.5,337,337,1.0
QE,Traffic,27,20260825,mature_anchor,0.3,0.5,550,550,1.0
PRTD,Traffic,27,20260825,mature_anchor,0.3,0.5,550,550,1.0
QE,Traffic,27,20260826,independent,0.3,0.5,675,675,1.0
PRTD,Traffic,27,20260826,independent,0.3,0.5,675,675,1.0
QE,Traffic,27,20260826,compact,0.3,0.5,675,675,1.0
PRTD,Traffic,27,20260826,compact,0.3,0.5,675,675,1.0
QE,Traffic,27,20260826,onoff,0.3,0.5,333,333,1.0
PRTD,Traffic,27,20260826,onoff,0.3,0.5,333,333,1.0
QE,Traffic,27,20260826,mature_anchor,0.3,0.5,548,548,1.0
