variant,block_end,scene,seed,ordinary_anchor_purity
All-Anchors,40,Traffic,20260815,0.6475770925110133
All-Anchors,40,Traffic,20260816,0.6872246696035242
All-Anchors,40,Traffic,20260817,0.73568281938326
All-Anchors,40,Traffic,20260818,0.6519823788546255
All-Anchors,40,Traffic,20260819,0.7048458149779736
All-Anchors,40,Traffic,20260820,0.7533039647577092
All-Anchors,40,Traffic,20260821,0.7180616740088106
All-Anchors,40,Traffic,20260822,0.73568281938326
All-Anchors,40,Traffic,20260823,0.7136563876651982
All-Anchors,40,Traffic,20260824,0.7180616740088106
All-Anchors,40,Traffic,20260825,0.7180616740088106
All-Anchors,40,Traffic,20260826,0.7224669603524229
All-Anchors,40,Traffic,20260827,0.7268722466960352
All-Anchors,40,Traffic,20260828,0.6916299559471366
All-Anchors,40,Traffic,20260829,0.6740088105726872
All-Anchors,40,Traffic,20260830,0.6872246696035242
All-Anchors,40,Traffic,20260831,0.7268722466960352
All-Anchors,40,Traffic,20260832,0.7268722466960352
All-Anchors,40,Traffic,20260833,0.7092511013215859
All-Anchors,40,Traffic,20260834,0.6696035242290749
All-Anchors,40,Traffic,20260835,0.6960352422907489
All-Anchors,40,Traffic,20260836,0.6740088105726872
All-Anchors,40,Traffic,20260837,0.6960352422907489
All-Anchors,40,Water,20260808,0.7147766323024055
All-Anchors,40,Water,20260809,0.7147766323024055
All-Anchors,40,Water,20260810,0.7216494845360825
All-Anchors,40,Water,20260811,0.6666666666666666
All-Anchors,40,Water,20260812,0.6838487972508591
All-Anchors,40,Water,20260813,0.7285223367697594
All-Anchors,40,Water,20260814,0.6907216494845361
All-Anchors,40,Water,20260815,0.6838487972508591
All-Anchors,40,Water,20260816,0.6907216494845361
All-Anchors,40,Water,20260817,0.6426116838487973
All-Anchors,40,Water,20260818,0.7250859106529209
All-Anchors,40,Water,20260819,0.711340206185567
All-Anchors,40,Water,20260820,0.6666666666666666
All-Anchors,40,Water,20260821,0.7044673539518901
All-Anchors,40,Water,20260822,0.718213058419244
All-Anchors,40,Water,20260823,0.7010309278350515
All-Anchors,40,Water,20260824,0.697594501718213
All-Anchors,40,Water,20260825,0.7010309278350515
All-Anchors,40,Water,20260826,0.7216494845360825
All-Anchors,40,Water,20260827,0.7044673539518901
All-Anchors,40,Water,20260828,0.7044673539518901
All-Anchors,40,Water,20260829,0.697594501718213
All-Anchors,40,Water,20260830,0.711340206185567
All-Anchors,40,Water,20260831,0.718213058419244
All-Anchors,40,Water,20260832,0.6941580756013745
All-Anchors,40,Water,20260833,0.7044673539518901
All-Anchors,40,Water,20260834,0.6838487972508591
All-Anchors,40,Water,20260835,0.6804123711340206
All-Anchors,40,Water,20260836,0.6804123711340206
All-Anchors,40,Water,20260837,0.6769759450171822
All-Anchors,50,Climate,20260808,0.6394052044609665
All-Anchors,50,Climate,20260809,0.6988847583643123
All-Anchors,50,Climate,20260810,0.7063197026022305
All-Anchors,50,Climate,20260811,0.7063197026022305
All-Anchors,50,Climate,20260812,0.7174721189591078
All-Anchors,50,Climate,20260813,0.7100371747211895
All-Anchors,50,Climate,20260814,0.6914498141263941
All-Anchors,50,Climate,20260815,0.6914498141263941
