method,mode,scene,seed,honest_report_acceptance
PRTD,compact,Water,20260818,1.0
PRTD,compact,Water,20260819,1.0
PRTD,compact,Water,20260820,0.9987220447284345
PRTD,compact,Water,20260821,1.0
PRTD,compact,Water,20260822,0.9980903882877148
PRTD,compact,Water,20260823,0.9993634627625716
PRTD,compact,Water,20260824,0.9993654822335025
PRTD,compact,Water,20260825,1.0
PRTD,compact,Water,20260826,1.0
PRTD,compact,Water,20260827,1.0
PRTD,compact,Water,20260828,1.0
PRTD,compact,Water,20260829,0.9987236758136566
PRTD,compact,Water,20260830,1.0
PRTD,compact,Water,20260831,0.9987285441830897
PRTD,compact,Water,20260832,1.0
PRTD,compact,Water,20260833,1.0
PRTD,compact,Water,20260834,0.9981024667931688
PRTD,compact,Water,20260835,0.9993654822335025
PRTD,compact,Water,20260836,0.9987253027405991
PRTD,compact,Water,20260837,1.0
PRTD,independent,Climate,20260808,1.0
PRTD,independent,Climate,20260809,0.9993386243386243
PRTD,independent,Climate,20260810,0.9993265993265993
PRTD,independent,Climate,20260811,1.0
PRTD,independent,Climate,20260812,1.0
PRTD,independent,Climate,20260813,1.0
PRTD,independent,Climate,20260814,1.0
PRTD,independent,Climate,20260815,1.0
PRTD,independent,Climate,20260816,1.0
PRTD,independent,Climate,20260817,1.0
PRTD,independent,Climate,20260818,1.0
PRTD,independent,Climate,20260819,1.0
PRTD,independent,Climate,20260820,1.0
PRTD,independent,Climate,20260821,1.0
PRTD,independent,Climate,20260822,1.0
PRTD,independent,Climate,20260823,1.0
PRTD,independent,Climate,20260824,1.0
PRTD,independent,Climate,20260825,1.0
PRTD,independent,Climate,20260826,1.0
PRTD,independent,Climate,20260827,1.0
PRTD,independent,Climate,20260828,1.0
PRTD,independent,Climate,20260829,1.0
PRTD,independent,Climate,20260830,1.0
PRTD,independent,Climate,20260831,1.0
PRTD,independent,Climate,20260832,1.0
PRTD,independent,Climate,20260833,1.0
PRTD,independent,Climate,20260834,1.0
PRTD,independent,Climate,20260835,1.0
PRTD,independent,Climate,20260836,1.0
PRTD,independent,Climate,20260837,1.0
PRTD,independent,Traffic,20260808,1.0
