workload,scene,target_workers,seed,target_acceptance,qe_radius,qe_clean_acceptance,prtd_relative_weight,prtd_clean_acceptance
Water_n27,Water,27,20260830,0.96,0.024706389661085,0.9600840336134454,0.032041454792714,0.957983193277311
Water_n27,Water,27,20260836,0.96,0.0255581961521786,0.9600840336134454,0.0129841564212562,0.957983193277311
Water_n39,Water,39,20260812,0.96,0.0251419827086072,0.9611111111111112,0.0761623335625023,0.9597222222222224
Water_n39,Water,39,20260818,0.96,0.0240144961591048,0.9611111111111112,0.0454832980399161,0.9597222222222224
Water_n39,Water,39,20260824,0.96,0.0244100269557847,0.9611111111111112,0.1403107334399453,0.9597222222222224
Water_n39,Water,39,20260830,0.96,0.0244964057794054,0.9611111111111112,0.1118556920798075,0.9597222222222224
Water_n39,Water,39,20260836,0.96,0.0243913679611461,0.9611111111111112,0.1410353801725968,0.9597222222222224
Climate_n27,Climate,27,20260813,0.96,0.0340878770680858,0.960144927536232,0.0316707450373837,0.9583333333333334
Climate_n27,Climate,27,20260819,0.96,0.0346465585847189,0.960144927536232,0.0261514489360654,0.9583333333333334
Climate_n27,Climate,27,20260825,0.96,0.0356034482976467,0.960144927536232,0.0675643078151938,0.9583333333333334
Climate_n27,Climate,27,20260831,0.96,0.0352218798977181,0.960144927536232,0.0788154086936668,0.9583333333333334
Climate_n27,Climate,27,20260837,0.96,0.0339447631556124,0.960144927536232,0.0586214748666908,0.9583333333333334
Climate_n39,Climate,39,20260813,0.96,0.0345296719003489,0.9604449938195304,0.144616007853785,0.9592088998763906
Climate_n39,Climate,39,20260819,0.96,0.0345364311609224,0.9604449938195304,0.1257797045596859,0.9592088998763906
Climate_n39,Climate,39,20260825,0.96,0.0338412029108935,0.9604449938195304,0.1799789134375529,0.9592088998763906
Climate_n39,Climate,39,20260831,0.96,0.0341545435546688,0.9604449938195304,0.1392790026101182,0.9592088998763906
Climate_n39,Climate,39,20260837,0.96,0.0336712606590776,0.9604449938195304,0.1819587556721438,0.9592088998763906
Traffic_n27,Traffic,27,20260813,0.96,0.0108793844428768,0.9606164383561644,0.0512051127794023,0.958904109589041
Traffic_n27,Traffic,27,20260819,0.96,0.0114760627993277,0.9606164383561644,0.1032416877102622,0.958904109589041
