mode,scene,seed,tasks,no_truth_count,norm_sq_sum,sq_sum,norm_abs_sum,abs_sum,dimension,nrmse,rmse,nmae,mae,no_truth_rate,clean_nrmse,error_ratio,malicious_report_leakage,honest_false_low_rate
onoff,Water,20260832,40,0,0.005780892498583276,35165.53626492511,0.7132124699055665,813.9778716904514,360,0.004007247773508256,9.883422746212343,0.001981145749737685,2.2610496435845873,0.0,0.0011915261424376511,3.3631219918600674,0.0471976401179941,0.0048250904704463205
onoff,Water,20260833,40,0,0.006258773057825352,28992.573279016695,0.6743402460620945,712.5477245699966,360,0.004169589993774152,8.974125348748277,0.0018731673501724848,1.9792992349166572,0.0,0.001094540423923271,3.8094435825665283,0.0423728813559322,0.0036855036855036856
onoff,Water,20260834,40,0,0.033472192163205176,104133.23280345868,1.5505411157736648,1282.8639198752974,360,0.009642526202425318,17.00761535341176,0.004307058654926847,3.563510888542493,0.0,0.000995272828695647,9.688324572330899,0.13725490196078433,0.0012330456226880395
onoff,Water,20260835,40,0,0.009634742316891824,44635.53953129904,0.893235875603917,948.0764769545044,360,0.0051733135515332224,11.134972375770134,0.0024812107655664364,2.6335457693180677,0.0,0.0010325358869315681,5.010299028837617,0.06784660766961652,0.006031363088057901
onoff,Water,20260836,40,0,0.13562978616342783,470428.69223984046,2.179688374776792,2006.295958420684,360,0.019410033642668467,36.148946974052926,0.006054689929935533,5.573044328946344,0.0,0.0011156797183660293,17.39749618384698,0.13753581661891118,0.006105006105006105
onoff,Water,20260837,40,0,0.09658232880508572,339598.446624508,2.1306733459529723,1687.8701721582174,360,0.0163793848077635,30.713661755014027,0.005918537072091589,4.688528255995048,0.0,0.0011161240226629373,14.67523722738649,0.1339031339031339,0.008567931456548347
mature_anchor,Climate,20260808,60,0,0.3476838426914941,13521.408575006659,4.718812570405213,825.7429040503276,300,0.03404329805270019,6.7135208286478765,0.015729375234684043,2.7524763468344253,0.0,0.0019112351110496621,17.81219791112115,0.2550607287449393,0.055855855855855854
mature_anchor,Climate,20260809,60,0,0.16095078144391925,6288.858226850356,3.7173775914160583,657.2390938706227,300,0.023162525872906525,4.578521678027511,0.012391258638053527,2.1907969795687423,0.0,0.0020096781502706436,11.525490223291339,0.28846153846153844,0.027288732394366196
mature_anchor,Climate,20260810,60,0,0.2881926508204364,11326.969276409902,4.645494718504506,817.6022356458332,300,0.030994228001378816,6.144637031973465,0.01548498239501502,2.7253407854861105,0.0,0.0021192120578191745,14.625354686436696,0.29896907216494845,0.043789097408400354
mature_anchor,Climate,20260811,60,0,0.7984192613649527,30890.96633825092,5.877485948415705,1023.9194656758941,300,0.05158873460246118,10.147407934747166,0.01959161982805235,3.413064885586314,0.0,0.00204771476015492,25.19332067448605,0.28830645161290325,0.04422382671480144
mature_anchor,Climate,20260812,60,0,0.20080224072604963,7971.805571979044,3.713936915912553,662.781365708724,300,0.025871621565339994,5.154870050731652,0.01237978971970851,2.20927121902908,0.0,0.001965768494444359,13.161072444928378,0.24536082474226803,0.03306523681858802
mature_anchor,Climate,20260813,60,0,0.23687646537626383,9330.347086704867,4.097171686963849,722.443791602984,300,0.028099612415848005,5.576841126989623,0.013657238956546162,2.4081459720099465,0.0,0.0020706926571289726,13.57015118545322,0.28125,0.030249110320284697
mature_anchor,Climate,20260814,60,0,0.9533623537622666,36854.81620335824,5.252908851833955,916.4065091864903,300,0.05637263975139792,11.083744283613163,0.01750969617277985,3.0546883639549676,0.0,0.0020076886952855116,28.07837683390513,0.28693790149892934,0.03518029903254178
mature_anchor,Climate,20260815,60,0,0.19932147920499568,7722.654245586465,3.651877159271375,636.8504676845711,300,0.02577605343498727,5.073675277214885,0.012172923864237916,2.1228348922819036,0.0,0.0017075389275458645,15.095441175114834,0.2459016393442623,0.023297491039426525
mature_anchor,Climate,20260816,60,0,0.7463369014299208,28805.74163019294,6.406488496966062,1107.6017467662728,300,0.049877747256998985,9.798935593589224,0.02135496165655354,3.6920058225542425,0.0,0.0018821492578466935,26.500420755186287,0.3333333333333333,0.04092526690391459
mature_anchor,Climate,20260817,60,0,0.22573369570509447,8850.004674316167,4.499210757515022,785.9301704647373,300,0.027430742832637887,5.431391679952192,0.01499736919171674,2.619767234882458,0.0,0.0019305412780958812,14.208835182065206,0.3227176220806794,0.04060017652250662
mature_anchor,Climate,20260818,60,0,0.6128963411088616,23646.23565589538,5.940492257926181,1036.7015196354844,300,0.04519942260357101,8.878107091021784,0.019801640859753937,3.4556717321182813,0.0,0.002008796281276158,22.50074983952902,0.3128834355828221,0.039461883408071746
mature_anchor,Climate,20260819,60,0,0.9014170429179105,35034.190747504574,5.375827639663226,937.4645865090607,300,0.054815358033976525,10.806508956412115,0.017919425465544085,3.1248819550302023,0.0,0.0019169204949070432,28.595530268267424,0.29273504273504275,0.03345070422535211
