malicious_ratio,strength,scene,seed,tasks,no_truth_count,norm_sq_sum,sq_sum,norm_abs_sum,abs_sum,dimension,nrmse,rmse,nmae,mae,no_truth_rate,clean_nrmse,error_ratio
0.1,0.25,Climate,20260827,60,0,0.0014750898018790883,78.13364987220515,0.5024220182575628,102.58000280898625,300,0.0022174232808067178,0.5103386126622375,0.0016747400608585427,0.34193334269662085,0.0,0.00202844086959576,1.0931663397457672
0.1,0.25,Climate,20260828,60,0,0.0013751894024614788,91.19795857789414,0.4731960858182151,102.68676657758111,300,0.002141019540983126,0.5513557792021837,0.001577320286060717,0.3422892219252704,0.0,0.0020788312005199845,1.0299150505570565
0.1,0.25,Climate,20260829,60,0,0.0013060030554940083,78.24840132206998,0.4423585591397189,92.57656479351188,300,0.0020864667546628586,0.5107132310865854,0.0014745285304657296,0.30858854931170626,0.0,0.0020237615841009245,1.0309844652920375
0.1,0.25,Climate,20260830,60,0,0.001415531673308576,90.28677772993328,0.4658691504488706,98.89107383499653,300,0.0021721967938077313,0.5485945003064142,0.0015528971681629021,0.3296369127833218,0.0,0.0020331709408776986,1.0683788313785445
0.1,0.25,Climate,20260831,60,0,0.0012652120353018356,84.91502027814923,0.4408754379691004,95.31213345967483,300,0.002053624466889241,0.5320244990541608,0.0014695847932303346,0.3177071115322494,0.0,0.001960268236521681,1.047624212150278
0.1,0.25,Climate,20260832,60,0,0.001338158801301285,86.94618325590977,0.4509696246671106,95.5808116570361,300,0.002111996528801823,0.5383498963063266,0.001503232082223702,0.31860270552345366,0.0,0.0019778292920643106,1.0678356000064488
0.1,0.25,Climate,20260833,60,0,0.001437253866042335,79.62951065320162,0.4730939655327136,97.79290463817536,300,0.0021888001782120535,0.51520064264065,0.0015769798851090454,0.32597634879391785,0.0,0.0019347915235803522,1.1312847671369035
0.1,0.25,Climate,20260834,60,0,0.0012392333689200373,73.15466409793355,0.443291390320395,92.86271690967529,300,0.00203243152317615,0.4938105712987979,0.00147763796773465,0.3095423896989176,0.0,0.0018158898904734467,1.1192482175481717
0.1,0.25,Climate,20260835,60,0,0.001439247874733164,98.73785402536846,0.4657335974963653,103.44091510050008,300,0.0021903179942139024,0.5736951978921923,0.0015524453249878842,0.34480305033500025,0.0,0.0018979840915947393,1.1540233682219834
0.1,0.25,Climate,20260836,60,0,0.0012777173097584147,72.7553048790515,0.44195033247653703,91.75164787314101,300,0.002063748458314316,0.4924608440578516,0.0014731677749217902,0.3058388262438034,0.0,0.001869431479715729,1.1039444241241383
0.1,0.25,Climate,20260837,60,0,0.0011772605006914517,74.03602054869992,0.4251764078914313,89.98499528634059,300,0.0019809597847941047,0.4967763431991635,0.0014172546929714376,0.29994998428780195,0.0,0.0018066885618901278,1.0964589174803083
