method,mode,scene,seed,tasks,no_truth_count,norm_sq_sum,sq_sum,norm_abs_sum,abs_sum,dimension,nrmse,rmse,nmae,mae,no_truth_rate
PRTD,clean,Traffic,20260821,80,0,6.906368537315942e-05,3492.5611758059013,0.10484836871560572,503.72411562767115,480,0.00037931870222907384,2.6974375092413716,0.00021843410149084526,1.0494252408909817,0.0
PRTD,clean,Traffic,20260822,80,0,7.416216961736686e-05,5414.232260856349,0.10634667006624773,566.5654032101503,480,0.00039307062983156215,3.358519099759703,0.0002215555626380161,1.1803445900211464,0.0
PRTD,clean,Traffic,20260823,80,0,8.996814044287253e-05,4140.371676710295,0.11552795399264144,565.7550558290826,480,0.00043293605292543045,2.9369668582535593,0.00024068323748466968,1.1786563663105887,0.0
PRTD,clean,Traffic,20260824,80,0,6.094181517491062e-05,2371.919263178831,0.10629593900140255,474.0815106980798,480,0.0003563174356493525,2.2229481471586103,0.00022144987291958864,0.987669813954333,0.0
PRTD,clean,Traffic,20260825,80,0,7.174390195647225e-05,3458.1042881130547,0.1046807649025383,501.1905564843553,480,0.0003866089269653731,2.684098346478546,0.00021808492688028813,1.04414699267574,0.0
PRTD,clean,Traffic,20260826,80,0,6.488520157132945e-05,3343.2826990976005,0.10118817725514102,511.4490190305936,480,0.00036766493342934274,2.639161285292482,0.00021080870261487713,1.06551878964707,0.0
PRTD,clean,Traffic,20260827,80,0,5.9586415129143356e-05,2511.5406746618974,0.10041871372863265,459.70060107728034,480,0.0003523327473460024,2.287438830995404,0.00020920565360131802,0.9577095855776674,0.0
PRTD,clean,Traffic,20260828,80,0,6.670282397304801e-05,3781.3115471343926,0.10425732017747992,555.6309191984864,480,0.00037277904529428243,2.8067298391301074,0.00021720275036974984,1.1575644149968467,0.0
PRTD,clean,Traffic,20260829,80,0,6.279512992244097e-05,3096.622515966685,0.0979896816544912,459.56914667967135,480,0.0003616948815485487,2.53994033557167,0.00020414517011352334,0.9574357222493153,0.0
PRTD,clean,Traffic,20260830,80,0,5.776494335414061e-05,2275.1318362902216,0.09737389874132955,470.03633113578445,480,0.0003469057969936405,2.1771214923084323,0.00020286228904443658,0.9792423565328843,0.0
PRTD,clean,Traffic,20260831,80,0,5.559371935891385e-05,2959.2145936031243,0.0991443130153662,485.8715705465012,480,0.0003403237409649874,2.482947926022582,0.00020655065211534627,1.0122324386385442,0.0
PRTD,clean,Traffic,20260832,80,0,8.392974203223202e-05,3087.379953716804,0.11090614762419508,516.6986593588038,480,0.0004181550301429085,2.5361469930276797,0.0002310544742170731,1.0764555403308411,0.0
PRTD,clean,Traffic,20260833,80,0,8.100953495575258e-05,6303.723209608464,0.11223442647522175,600.5401596643477,480,0.00041081609570603635,3.6239145528950183,0.00023382172182337865,1.2511253326340577,0.0
PRTD,clean,Traffic,20260834,80,0,5.6742636305187726e-05,3095.8925334582705,0.10189826158382621,527.60134306036,480,0.0003438223751238534,2.539640941426838,0.00021228804496630462,1.0991694647090833,0.0
PRTD,clean,Traffic,20260835,80,0,8.132605355078268e-05,2362.655381691352,0.10982134934879802,490.3403133814475,480,0.0004116178789008044,2.218602873850339,0.00022879447780999588,1.0215423195446822,0.0
PRTD,clean,Traffic,20260836,80,0,7.130407998826422e-05,2433.1010084864165,0.10232174203059431,465.6963430582712,480,0.00038542206299356697,2.2514351943475304,0.0002131702958970715,0.9702007147047317,0.0
PRTD,clean,Traffic,20260837,80,0,6.806784552375389e-05,3173.3595972244852,0.10752152577458406,516.6512791498961,480,0.00037657404518609696,2.5712187436215945,0.00022400317869705012,1.0763568315622836,0.0
PRTD,clean,Water,20260808,80,0,0.0011702990926258977,32059.05077547872,0.674015060547347,1186.942193464985,720,0.001274917803791624,6.672814954004577,0.0009361320285379819,1.6485308242569234,0.0
PRTD,clean,Water,20260809,80,0,0.00110253006511647,35974.54334728826,0.6568430857719981,1249.4104318007248,720,0.001237453739380268,7.068567290328384,0.0009122820635722196,1.7352922663898955,0.0
PRTD,clean,Water,20260810,80,0,0.0012133513045799271,25549.67016910111,0.700506270905974,1199.384135419425,720,0.0012981564409769335,5.956983549804417,0.0009729253762582971,1.665811299193646,0.0
PRTD,clean,Water,20260811,80,0,0.0012510486524770375,51531.86141570516,0.7217216343746156,1400.1450664255622,720,0.0013181682642533822,8.4600253985455,0.0010023911588536328,1.9446459255910586,0.0
PRTD,clean,Water,20260812,80,0,0.001158079806043104,24985.27596574586,0.6817232922649381,1048.2231325372054,720,0.0012682445249477196,5.890821010236776,0.0009468379059235252,1.4558654618572298,0.0
