protocol,n,dimension,payload_bytes,seed,audit_mode,offchain_active_ms,declared_wait_ms,offchain_final_ms,worker_ms,tp_sp_cloudA_ms,dr_cloudB_ms,rb_rc_ta_ms,auditor_ms,analytics_ms,crypto_and_protocol_ms,traffic_task_bytes,traffic_report_bytes,iterations,retained_count,valid,run
BSIF,10,9,256,2026181022,normal,2453.42157,0.0,2453.42157,1796.624587,515.70295,141.006291,0.0,0.0,0.082381,2453.339189,132272,7324.0,1,7,True,22
PRTD,10,9,256,2026181023,normal,6188.686034,0.0,6188.686034,3552.261799,1740.862854,854.083864,40.338187,0.0,385.16574,5803.520294,206540,7808.0,8,10,True,23
IRPP-TD,10,9,256,2026181023,normal,11.428203,0.0,11.428203,6.970428,0.552148,3.799358,0.0,0.0,1.95237,9.475833,86220,1568.0,6,10,True,23
BSIF,10,9,256,2026181023,normal,2542.480581,0.0,2542.480581,1808.660416,530.721336,203.005179,0.0,0.0,0.088143,2542.392438,155504,7324.0,1,10,True,23
RPPS-TDC,10,9,256,2026181023,normal,2781.630196,0.0,2781.630196,1808.474949,191.798131,728.014544,53.009855,0.0,476.805147,2304.825049,158184,6912.0,8,8,True,23
IRPP-TD,10,9,256,2026181024,normal,11.930298,0.0,11.930298,7.588608,0.563669,3.672186,0.0,0.0,1.816494,10.113804,86220,1568.0,6,10,True,24
BSIF,10,9,256,2026181024,normal,2496.188679,0.0,2496.188679,1844.092719,511.795098,140.207215,0.0,0.0,0.101451,2496.087228,132272,7324.0,1,7,True,24
RPPS-TDC,10,9,256,2026181024,normal,2764.385432,0.0,2764.385432,1796.050249,192.317581,723.123352,52.595483,0.0,473.529985,2290.855447,158184,6912.0,8,8,True,24
PRTD,10,9,256,2026181024,normal,6149.4654,0.0,6149.4654,3536.092936,1727.998597,843.773465,40.599406,0.0,379.542482,5769.922918,206540,7808.0,8,10,True,24
BSIF,10,9,256,2026181025,normal,2526.222277,0.0,2526.222277,1791.27955,530.821795,204.042944,0.0,0.0,0.081693,2526.1405839999998,155504,7324.0,1,10,True,25
RPPS-TDC,10,9,256,2026181025,normal,2767.591539,0.0,2767.591539,1811.081377,189.672628,714.170455,52.295911,0.0,468.838658,2298.752881,158184,6912.0,8,8,True,25
PRTD,10,9,256,2026181025,normal,6206.507056,0.0,6206.507056,3547.75084,1756.342043,860.524935,40.751329,0.0,385.419694,5821.087362,206540,7808.0,8,10,True,25
IRPP-TD,10,9,256,2026181025,normal,12.062327,0.0,12.062327,7.340824,0.56785,4.029972,0.0,0.0,1.982934,10.079393,86220,1568.0,7,10,True,25
RPPS-TDC,10,9,256,2026181026,normal,2806.8249,0.0,2806.8249,1833.99919,193.069425,726.05935,53.342458,0.0,476.401979,2330.4229210000003,158184,6912.0,8,8,True,26
PRTD,10,9,256,2026181026,normal,6158.246877,0.0,6158.246877,3541.403215,1730.623534,844.242602,40.947494,0.0,379.333675,5778.913202,206540,7808.0,8,10,True,26
IRPP-TD,10,9,256,2026181026,normal,12.411037,0.0,12.411037,7.687665,0.56767,4.052208,0.0,0.0,2.004973,10.406064,86220,1568.0,6,10,True,26
BSIF,10,9,256,2026181026,normal,2477.180924,0.0,2477.180924,1819.17318,517.032497,140.897948,0.0,0.0,0.085266,2477.0956579999997,132272,7324.0,1,7,True,26
PRTD,10,9,256,2026181027,normal,6187.941147,0.0,6187.941147,3560.554417,1737.207939,848.227401,40.921696,0.0,381.716356,5806.224791,206540,7808.0,8,10,True,27
IRPP-TD,10,9,256,2026181027,normal,11.800974,0.0,11.800974,7.187218,0.57318,3.913371,0.0,0.0,1.96299,9.837984,86220,1568.0,6,10,True,27
BSIF,10,9,256,2026181027,normal,2494.328501,0.0,2494.328501,1837.35088,515.243765,141.627547,0.0,0.0,0.081517,2494.246984,132272,7324.0,1,7,True,27
RPPS-TDC,10,9,256,2026181027,normal,2788.074688,0.0,2788.074688,1810.083822,192.695979,731.637277,53.299266,0.0,480.297057,2307.777631,158184,6912.0,8,8,True,27
IRPP-TD,10,9,256,2026181028,normal,12.150188,0.0,12.150188,7.797179,0.553959,3.696562,0.0,0.0,1.844754,10.305434,86220,1568.0,6,10,True,28
BSIF,10,9,256,2026181028,normal,2549.231188,0.0,2549.231188,1814.499201,531.833331,202.809969,0.0,0.0,0.080964,2549.150224,155504,7324.0,1,10,True,28
RPPS-TDC,10,9,256,2026181028,normal,2784.773266,0.0,2784.773266,1810.361946,193.821874,726.645513,53.56221,0.0,475.71935,2309.0539160000003,158184,6912.0,8,8,True,28
PRTD,10,9,256,2026181028,normal,6171.739904,0.0,6171.739904,3554.506172,1726.358595,848.895162,40.941011,0.0,379.266198,5792.473706,206540,7808.0,8,10,True,28
BSIF,10,9,256,2026181029,normal,2484.207116,0.0,2484.207116,1822.952956,519.337955,141.843916,0.0,0.0,0.079788,2484.127328,132272,7324.0,1,7,True,29
RPPS-TDC,10,9,256,2026181029,normal,2776.715057,0.0,2776.715057,1813.488937,190.384153,719.975334,52.527927,0.0,472.321428,2304.3936289999997,158184,6912.0,8,8,True,29
PRTD,10,9,256,2026181029,normal,6092.23321,0.0,6092.23321,3498.461601,1716.172291,836.619751,40.089951,0.0,376.13356,5716.09965,206540,7808.0,8,10,True,29
IRPP-TD,10,9,256,2026181029,normal,12.039425,0.0,12.039425,7.530028,0.548716,3.861083,0.0,0.0,1.938525,10.1009,86220,1568.0,7,10,True,29
IRPP-TD,20,9,256,2026281000,normal,31.551334,0.0,31.551334,23.844479,1.107773,6.452172,0.0,0.0,3.019731,28.531603,211480,1568.0,6,20,True,0
BSIF,20,9,256,2026281000,normal,4898.354414,0.0,4898.354414,3593.722704,1025.328096,279.1834,0.0,0.0,0.097667,4898.256747,264480,7324.0,1,14,True,0
RPPS-TDC,20,9,256,2026281000,normal,5323.19812,0.0,5323.19812,3605.363277,201.355252,1409.72999,106.178333,0.0,957.004014,4366.194106,309328,6912.0,8,16,True,0
PRTD,20,9,256,2026281000,normal,10342.938523,0.0,10342.938523,6993.357026,1975.959619,1292.280741,80.031571,0.0,376.270422,9966.668101000001,357300,7808.0,8,20,True,0
BSIF,20,9,256,2026281001,normal,5047.940828,0.0,5047.940828,3594.502277,1053.418396,399.90163,0.0,0.0,0.078176,5047.862652,310944,7324.0,1,20,True,1
RPPS-TDC,20,9,256,2026281001,normal,5285.057667,0.0,5285.057667,3591.91537,200.09511,1387.918392,104.58335,0.0,941.929421,4343.128246,309328,6912.0,8,16,True,1
PRTD,20,9,256,2026281001,normal,10356.119599,0.0,10356.119599,7003.801255,1980.557299,1290.248032,80.240058,0.0,375.099886,9981.019713,357300,7808.0,8,20,True,1
IRPP-TD,20,9,256,2026281001,normal,32.615202,0.0,32.615202,24.669133,1.100428,6.668314,0.0,0.0,3.124715,29.490486999999995,211480,1568.0,6,20,True,1
RPPS-TDC,20,9,256,2026281002,normal,5279.399117,0.0,5279.399117,3585.049269,200.553124,1388.749473,104.528544,0.0,942.194255,4337.204862,309328,6912.0,8,16,True,2
PRTD,20,9,256,2026281002,normal,10359.906653,0.0,10359.906653,7006.8846,1980.744877,1290.317014,80.592832,0.0,375.226657,9984.679996,357300,7808.0,8,20,True,2
IRPP-TD,20,9,256,2026281002,normal,32.32366,0.0,32.32366,24.484411,1.107202,6.548845,0.0,0.0,3.014489,29.309170999999996,211480,1568.0,6,20,True,2
BSIF,20,9,256,2026281002,normal,4901.331872,0.0,4901.331872,3589.026452,1029.163797,283.006774,0.0,0.0,0.096266,4901.235606,264480,7324.0,1,14,True,2
PRTD,20,9,256,2026281003,normal,10446.188085,0.0,10446.188085,7067.09892,1998.05253,1298.753157,80.928192,0.0,377.725962,10068.462123,357300,7808.0,8,20,True,3
IRPP-TD,20,9,256,2026281003,normal,32.696876,0.0,32.696876,24.529231,1.135642,6.848282,0.0,0.0,3.124806,29.572070000000004,211480,1568.0,7,20,True,3
BSIF,20,9,256,2026281003,normal,5099.558821,0.0,5099.558821,3625.334341,1064.751865,409.35148,0.0,0.0,0.086368,5099.472452999999,310944,7324.0,1,20,True,3
RPPS-TDC,20,9,256,2026281003,normal,5299.485335,0.0,5299.485335,3592.915872,205.160839,1394.127554,106.713568,0.0,940.350557,4359.134778000001,309328,6912.0,9,16,True,3
IRPP-TD,20,9,256,2026281004,normal,33.488646,0.0,33.488646,25.10255,1.14571,7.050746,0.0,0.0,3.245471,30.243175,211480,1568.0,6,20,True,4
BSIF,20,9,256,2026281004,normal,5130.423873,0.0,5130.423873,3658.987785,1062.774277,408.538546,0.0,0.0,0.084877,5130.3389959999995,310944,7324.0,1,20,True,4
