run,seed,n,fault,policy,audit_triggered,detected,corrected,bad_finalized,honest_votes,audit_reexecution_ms,correct_digest,submitted_digest
3,2035581003,27,label,proactive,True,True,True,False,5,8.096846,90683f0077d5193e01338c6bbf01f093aa60e0912a820f000c4daa0e6d972136,59f5f75cdb3ed940b576e1ca32c5e826b28968fa2c3a6f27bef61b6efc01e5e2
3,2035581003,27,label,timely_challenge,True,True,True,False,5,8.608356,90683f0077d5193e01338c6bbf01f093aa60e0912a820f000c4daa0e6d972136,59f5f75cdb3ed940b576e1ca32c5e826b28968fa2c3a6f27bef61b6efc01e5e2
3,2035581003,27,label,delayed_challenge,True,True,True,False,5,8.268956,90683f0077d5193e01338c6bbf01f093aa60e0912a820f000c4daa0e6d972136,59f5f75cdb3ed940b576e1ca32c5e826b28968fa2c3a6f27bef61b6efc01e5e2
3,2035581003,27,weight,no_trigger,False,False,False,True,0,0.000117,90683f0077d5193e01338c6bbf01f093aa60e0912a820f000c4daa0e6d972136,41b94340c05008d95dc34b41225770a92e5901f913375a5daa574104a4226cf9
3,2035581003,27,weight,proactive,True,True,True,False,5,8.180359,90683f0077d5193e01338c6bbf01f093aa60e0912a820f000c4daa0e6d972136,41b94340c05008d95dc34b41225770a92e5901f913375a5daa574104a4226cf9
3,2035581003,27,weight,timely_challenge,True,True,True,False,5,8.208103,90683f0077d5193e01338c6bbf01f093aa60e0912a820f000c4daa0e6d972136,41b94340c05008d95dc34b41225770a92e5901f913375a5daa574104a4226cf9
3,2035581003,27,weight,delayed_challenge,True,True,True,False,5,8.221457,90683f0077d5193e01338c6bbf01f093aa60e0912a820f000c4daa0e6d972136,41b94340c05008d95dc34b41225770a92e5901f913375a5daa574104a4226cf9
3,2035581003,27,reputation_state,no_trigger,False,False,False,True,0,0.000107,90683f0077d5193e01338c6bbf01f093aa60e0912a820f000c4daa0e6d972136,8e71f6f086893a092c4984cbd65ae505fbfd9e88ee6a66cc2534d7956fd9b0be
3,2035581003,27,reputation_state,proactive,True,True,True,False,5,8.362179,90683f0077d5193e01338c6bbf01f093aa60e0912a820f000c4daa0e6d972136,8e71f6f086893a092c4984cbd65ae505fbfd9e88ee6a66cc2534d7956fd9b0be
3,2035581003,27,reputation_state,timely_challenge,True,True,True,False,5,8.147699,90683f0077d5193e01338c6bbf01f093aa60e0912a820f000c4daa0e6d972136,8e71f6f086893a092c4984cbd65ae505fbfd9e88ee6a66cc2534d7956fd9b0be
3,2035581003,27,reputation_state,delayed_challenge,True,True,True,False,5,8.13209,90683f0077d5193e01338c6bbf01f093aa60e0912a820f000c4daa0e6d972136,8e71f6f086893a092c4984cbd65ae505fbfd9e88ee6a66cc2534d7956fd9b0be
3,2035581003,27,aggregate,no_trigger,False,False,False,True,0,0.000118,90683f0077d5193e01338c6bbf01f093aa60e0912a820f000c4daa0e6d972136,6e6ba233b4bca80c5986890aedcf527a59bbd17a0b4cbc894f0231834939fba3
