scene,target_workers,seed,task_id,epsilon,max_iterations,fixed_point_gap,iterations,converged,cap_hit,reference_iterations,reference_converged
Climate,27,20260808,45,1e-05,50,1.762789384014651e-06,4,True,False,17,True
Climate,27,20260808,45,1e-12,2,2.0387360434486737e-05,2,False,True,17,True
Climate,27,20260808,45,1e-12,5,5.217418004169748e-07,5,False,True,17,True
Climate,27,20260808,45,1e-12,50,0.0,17,True,False,17,True
Climate,27,20260808,46,0.001,2,3.8166761763340775e-05,1,True,False,15,True
Climate,27,20260808,46,0.001,5,3.8166761763340775e-05,1,True,False,15,True
Climate,27,20260808,46,0.001,50,3.8166761763340775e-05,1,True,False,15,True
Climate,27,20260808,46,1e-05,2,9.875416739479586e-06,2,False,True,15,True
Climate,27,20260808,46,1e-05,5,2.5569940867455565e-06,3,True,False,15,True
Climate,27,20260808,46,1e-05,50,2.5569940867455565e-06,3,True,False,15,True
Climate,27,20260808,46,1e-12,2,9.875416739479586e-06,2,False,True,15,True
Climate,27,20260808,46,1e-12,5,1.7137240052818402e-07,5,False,True,15,True
Climate,27,20260808,46,1e-12,50,0.0,15,True,False,15,True
Climate,27,20260808,47,0.001,2,5.750652688137289e-05,1,True,False,16,True
Climate,27,20260808,47,0.001,5,5.750652688137289e-05,1,True,False,16,True
Climate,27,20260808,47,0.001,50,5.750652688137289e-05,1,True,False,16,True
Climate,27,20260808,47,1e-05,2,1.5729905775998647e-05,2,False,True,16,True
Climate,27,20260808,47,1e-05,5,1.1920921750775629e-06,4,True,False,16,True
Climate,27,20260808,47,1e-05,50,1.1920921750775629e-06,4,True,False,16,True
Climate,27,20260808,47,1e-12,2,1.5729905775998647e-05,2,False,True,16,True
Climate,27,20260808,47,1e-12,5,3.283134581703871e-07,5,False,True,16,True
Climate,27,20260808,47,1e-12,50,0.0,16,True,False,16,True
Climate,27,20260808,48,0.001,2,7.196758324972086e-05,1,True,False,18,True
Climate,27,20260808,48,0.001,5,7.196758324972086e-05,1,True,False,18,True
Climate,27,20260808,48,0.001,50,7.196758324972086e-05,1,True,False,18,True
Climate,27,20260808,48,1e-05,2,1.89432119778082e-05,2,False,True,18,True
Climate,27,20260808,48,1e-05,5,1.7013757458519378e-06,4,True,False,18,True
Climate,27,20260808,48,1e-05,50,1.7013757458519378e-06,4,True,False,18,True
Climate,27,20260808,48,1e-12,2,1.89432119778082e-05,2,False,True,18,True
Climate,27,20260808,48,1e-12,5,5.35339395522273e-07,5,False,True,18,True
Climate,27,20260808,48,1e-12,50,0.0,18,True,False,18,True
Climate,27,20260808,49,0.001,2,0.00010414125596645309,1,True,False,20,True
Climate,27,20260808,49,0.001,5,0.00010414125596645309,1,True,False,20,True
Climate,27,20260808,49,0.001,50,0.00010414125596645309,1,True,False,20,True
Climate,27,20260808,49,1e-05,2,3.7616288206555525e-05,2,False,True,20,True
