method,geometry,tau,trial,success,finite,expected_fallback,declared_fallback,angular_available,low_count,retained_count,iterations,converged,max_raw_weight,normalization_error
Unprotected,full-rank,1e-06,49,True,True,False,False,True,0,27,1,True,0.6931471805599453,1.1102230246251565e-16
Full,full-rank,1e-09,0,True,True,False,False,True,0,27,1,True,0.6931471805599453,4.440892098500626e-16
Unprotected,full-rank,1e-09,0,True,True,False,False,True,0,27,1,True,0.6931471805599453,0.0
Full,full-rank,1e-09,1,True,True,False,False,True,0,27,1,True,0.6931471805599453,0.0
Unprotected,full-rank,1e-09,1,True,True,False,False,True,0,27,1,True,0.6931471805599453,1.1102230246251565e-16
Full,full-rank,1e-09,2,True,True,False,False,True,0,27,1,True,0.6931471805599453,1.1102230246251565e-16
Unprotected,full-rank,1e-09,2,True,True,False,False,True,0,27,1,True,0.6931471805599453,1.1102230246251565e-16
Full,full-rank,1e-09,3,True,True,False,False,True,0,27,1,True,0.6931471805599453,2.220446049250313e-16
Unprotected,full-rank,1e-09,3,True,True,False,False,True,0,27,1,True,0.6931471805599453,0.0
Full,full-rank,1e-09,4,True,True,False,False,True,0,27,1,True,0.6931471805599453,2.220446049250313e-16
Unprotected,full-rank,1e-09,4,True,True,False,False,True,0,27,1,True,0.6931471805599453,0.0
Full,full-rank,1e-09,5,True,True,False,False,True,0,27,1,True,0.6931471805599453,1.1102230246251565e-16
Unprotected,full-rank,1e-09,5,True,True,False,False,True,0,27,1,True,0.6931471805599453,0.0
Full,full-rank,1e-09,6,True,True,False,False,True,0,27,1,True,0.6931471805599453,0.0
Unprotected,full-rank,1e-09,6,True,True,False,False,True,0,27,1,True,0.6931471805599453,0.0
Full,full-rank,1e-09,7,True,True,False,False,True,0,27,1,True,0.6931471805599453,2.220446049250313e-16
Unprotected,full-rank,1e-09,7,True,True,False,False,True,0,27,1,True,0.6931471805599453,2.220446049250313e-16
Full,full-rank,1e-09,8,True,True,False,False,True,0,27,1,True,0.6931471805599453,2.220446049250313e-16
Unprotected,full-rank,1e-09,8,True,True,False,False,True,0,27,1,True,0.6931471805599453,0.0
Full,full-rank,1e-09,9,True,True,False,False,True,0,27,1,True,0.6931471805599453,2.220446049250313e-16
Unprotected,full-rank,1e-09,9,True,True,False,False,True,0,27,1,True,0.6931471805599453,0.0
Full,full-rank,1e-09,10,True,True,False,False,True,0,27,1,True,0.6931471805599453,1.1102230246251565e-16
Unprotected,full-rank,1e-09,10,True,True,False,False,True,0,27,1,True,0.6931471805599453,0.0
Full,full-rank,1e-09,11,True,True,False,False,True,0,27,1,True,0.6931471805599453,3.3306690738754696e-16
Unprotected,full-rank,1e-09,11,True,True,False,False,True,0,27,1,True,0.6931471805599453,2.220446049250313e-16
Full,full-rank,1e-09,12,True,True,False,False,True,0,27,1,True,0.6931471805599453,0.0
Unprotected,full-rank,1e-09,12,True,True,False,False,True,0,27,1,True,0.6931471805599453,2.220446049250313e-16
Full,full-rank,1e-09,13,True,True,False,False,True,0,27,1,True,0.6931471805599453,0.0
Unprotected,full-rank,1e-09,13,True,True,False,False,True,0,27,1,True,0.6931471805599453,2.220446049250313e-16
Full,full-rank,1e-09,14,True,True,False,False,True,0,27,1,True,0.6931471805599453,2.220446049250313e-16
