protocol,n,dimension,payload_bytes,seed,audit_mode,offchain_active_ms,declared_wait_ms,offchain_final_ms,worker_ms,tp_sp_cloudA_ms,dr_cloudB_ms,rb_rc_ta_ms,auditor_ms,analytics_ms,crypto_and_protocol_ms,traffic_task_bytes,traffic_report_bytes,iterations,retained_count,valid,run,chain_active_ms,tx_count,confirm_median_ms,confirm_p95_ms,ledger_bytes_task,gas_used,e2e_active_ms,e2e_final_ms,total_traffic_task_bytes
IRPP-TD,10,9,256,2026181013,normal,11.335372,0.0,11.335372,6.949039,0.572691,3.706981,0.0,0.0,1.802039,9.533333,86220,1568.0,6,10,True,13,7040.373827,14.0,501.049478,515.533515,4046.0,363893.0,7051.709199,7551.709199,90266.0
RPPS-TDC,10,9,256,2026181014,normal,2705.560201,0.0,2705.560201,1765.932159,186.253396,701.939131,51.149428,0.0,460.879932,2244.680269,158184,6912.0,8,8,True,14,12742.241161,25.0,501.306529,516.209102,74739.0,11399128.0,15447.801362,15447.801362,232923.0
PRTD,10,9,256,2026181014,normal,6151.058655,0.0,6151.058655,3527.783635,1732.39797,849.766795,40.093827,0.0,380.08226,5770.976395,206540,7808.0,8,10,True,14,,,,,,,6151.058655,6151.058655,206540.0
IRPP-TD,10,9,256,2026181014,normal,12.428746,0.0,12.428746,7.789355,0.558262,3.970569,0.0,0.0,2.060142,10.368604,86220,1568.0,6,10,True,14,7034.560999,14.0,501.081449,508.979985,4046.0,363893.0,7046.989745,7546.989745,90266.0
BSIF,10,9,256,2026181014,normal,2472.658866,0.0,2472.658866,1815.728975,516.16948,140.681123,0.0,0.0,0.081786,2472.57708,132272,7324.0,1,7,True,14,11852.032781,23.0,502.327946,629.328161,78449.0,12032928.0,14324.691647,14324.691647,210721.0
PRTD,10,9,256,2026181015,normal,6099.036486,0.0,6099.036486,3511.61486,1709.740654,836.789208,40.015342,0.0,377.048212,5721.988274,206540,7808.0,8,10,True,15,,,,,,,6099.036486,6099.036486,206540.0
IRPP-TD,10,9,256,2026181015,normal,11.976698,0.0,11.976698,7.548489,0.563173,3.764252,0.0,0.0,1.858816,10.117882000000002,86220,1568.0,6,10,True,15,7178.453886,14.0,503.132847,558.495382,4046.0,363893.0,7190.430584000001,7690.430584000001,90266.0
BSIF,10,9,256,2026181015,normal,2443.971591,0.0,2443.971591,1794.576931,509.697897,139.612147,0.0,0.0,0.079004,2443.892587,132272,7324.0,1,7,True,15,11587.026699,23.0,501.615562,532.266437,78449.0,12032928.0,14030.99829,14030.99829,210721.0
RPPS-TDC,10,9,256,2026181015,normal,2752.559357,0.0,2752.559357,1791.260125,190.481956,718.113094,52.393586,0.0,471.346739,2281.212618,158184,6912.0,8,8,True,15,12757.370295,25.0,502.56827,589.394921,74739.0,11399128.0,15509.929652,15509.929652,232923.0
IRPP-TD,10,9,256,2026181016,normal,11.959218,0.0,11.959218,7.640204,0.552105,3.64366,0.0,0.0,1.79431,10.164908,86220,1568.0,7,10,True,16,7137.897155,14.0,503.467499,539.579291,4046.0,363893.0,7149.856373,7649.856373,90266.0
BSIF,10,9,256,2026181016,normal,2443.648168,0.0,2443.648168,1792.988596,510.907132,139.671903,0.0,0.0,0.105795,2443.542373,132272,7324.0,1,7,True,16,11596.782676,23.0,501.236394,509.529933,78449.0,12032928.0,14040.430844,14040.430844,210721.0
RPPS-TDC,10,9,256,2026181016,normal,2753.565473,0.0,2753.565473,1792.842883,190.487413,717.403595,52.494788,0.0,471.078586,2282.486887,158184,6912.0,8,8,True,16,12610.35443,25.0,501.909601,531.90536,74739.0,11399128.0,15363.919903,15363.919903,232923.0
PRTD,10,9,256,2026181016,normal,6085.269918,0.0,6085.269918,3493.706292,1714.234021,836.358041,40.015063,0.0,375.851221,5709.418697,206540,7808.0,8,10,True,16,,,,,,,6085.269918,6085.269918,206540.0
BSIF,10,9,256,2026181017,normal,2524.741813,0.0,2524.741813,1798.857661,526.199403,199.609881,0.0,0.0,0.07828,2524.663533,155504,7324.0,1,10,True,17,11654.192147,23.0,501.049132,538.627637,78449.0,12032928.0,14178.93396,14178.93396,233953.0
RPPS-TDC,10,9,256,2026181017,normal,2768.544801,0.0,2768.544801,1791.054254,191.296588,733.696331,52.196387,0.0,487.070126,2281.474675,158184,6912.0,8,8,True,17,12645.857863,25.0,501.513798,539.724713,74739.0,11399128.0,15414.402664,15414.402664,232923.0
PRTD,10,9,256,2026181017,normal,6089.440262,0.0,6089.440262,3499.223369,1713.404266,835.813818,40.059525,0.0,375.803101,5713.637161,206540,7808.0,8,10,True,17,,,,,,,6089.440262,6089.440262,206540.0
IRPP-TD,10,9,256,2026181017,normal,11.989165,0.0,11.989165,7.548263,0.56827,3.76355,0.0,0.0,1.882107,10.107058,86220,1568.0,6,10,True,17,7219.248306,14.0,500.549126,582.18523,4046.0,363893.0,7231.237471,7731.237471,90266.0
RPPS-TDC,10,9,256,2026181018,normal,2769.755488,0.0,2769.755488,1792.896614,190.822651,733.318395,52.424489,0.0,486.7395,2283.015988,158184,6912.0,8,8,True,18,12596.518444,25.0,501.17583,529.986081,74739.0,11399128.0,15366.273932,15366.273932,232923.0
PRTD,10,9,256,2026181018,normal,6127.195795,0.0,6127.195795,3517.876904,1727.608431,840.829941,39.897314,0.0,378.437492,5748.758303,206540,7808.0,8,10,True,18,,,,,,,6127.195795,6127.195795,206540.0
IRPP-TD,10,9,256,2026181018,normal,12.08167,0.0,12.08167,7.442392,0.613167,3.925224,0.0,0.0,1.988006,10.093664,86220,1568.0,6,10,True,18,7124.941664,14.0,501.908241,537.015705,4046.0,363893.0,7137.0233339999995,7637.0233339999995,90266.0
BSIF,10,9,256,2026181018,normal,2519.754019,0.0,2519.754019,1794.143217,526.300053,199.226505,0.0,0.0,0.08232,2519.671699,155504,7324.0,1,10,True,18,11649.414251,23.0,501.591385,545.989904,78449.0,12032928.0,14169.16827,14169.16827,233953.0
PRTD,10,9,256,2026181019,normal,6088.976304,0.0,6088.976304,3496.489276,1715.851066,835.517559,40.214453,0.0,375.12645,5713.849854,206540,7808.0,8,10,True,19,,,,,,,6088.976304,6088.976304,206540.0
IRPP-TD,10,9,256,2026181019,normal,11.4513,0.0,11.4513,7.002118,0.54296,3.802954,0.0,0.0,1.993141,9.458159,86220,1568.0,6,10,True,19,7068.854897,14.0,502.010853,533.007544,4046.0,363893.0,7080.306197,7580.306197,90266.0
BSIF,10,9,256,2026181019,normal,2458.295437,0.0,2458.295437,1805.582333,511.981161,140.615816,0.0,0.0,0.084575,2458.2108620000004,132272,7324.0,1,7,True,19,11909.852847,23.0,502.205951,607.24427,78449.0,12032928.0,14368.148284,14368.148284,210721.0
RPPS-TDC,10,9,256,2026181019,normal,2793.333743,0.0,2793.333743,1817.132209,193.260737,729.359659,53.219622,0.0,479.232081,2314.101662,158184,6912.0,8,8,True,19,12718.35704,25.0,501.468412,520.050013,74739.0,11399128.0,15511.690783000002,15511.690783000002,232923.0
IRPP-TD,10,9,256,2026181020,normal,12.294892,0.0,12.294892,7.738611,0.550552,3.907499,0.0,0.0,1.877523,10.417369,86220,1568.0,6,10,True,20,7219.05196,14.0,501.535987,566.15404,4046.0,363893.0,7231.346852,7731.346852,90266.0
BSIF,10,9,256,2026181020,normal,2488.466333,0.0,2488.466333,1824.260364,520.845551,143.237893,0.0,0.0,0.084095,2488.382238,132272,7324.0,1,7,True,20,11687.986642,23.0,501.526505,576.644425,78449.0,12032928.0,14176.452975,14176.452975,210721.0
RPPS-TDC,10,9,256,2026181020,normal,2803.105781,0.0,2803.105781,1817.02044,194.583332,737.100981,54.048092,0.0,484.460376,2318.645405,158184,6912.0,8,8,True,20,12563.866865,25.0,501.189962,505.425643,74739.0,11399128.0,15366.972646,15366.972646,232923.0
PRTD,10,9,256,2026181020,normal,6217.750124,0.0,6217.750124,3588.882687,1739.806514,847.523567,40.489891,0.0,380.777097,5836.973027,206540,7808.0,8,10,True,20,,,,,,,6217.750124,6217.750124,206540.0
BSIF,10,9,256,2026181021,normal,2479.829451,0.0,2479.829451,1815.350504,521.248932,143.154948,0.0,0.0,0.080786,2479.748665,132272,7324.0,1,7,True,21,12100.47422,23.0,503.186716,632.482377,78449.0,12032928.0,14580.303671,14580.303671,210721.0
RPPS-TDC,10,9,256,2026181021,normal,2776.273597,0.0,2776.273597,1814.864411,190.569737,717.983162,52.524175,0.0,471.404073,2304.869524,158184,6912.0,8,8,True,21,12571.306641,25.0,500.596144,514.520492,74739.0,11399128.0,15347.580237999999,15347.580237999999,232923.0
PRTD,10,9,256,2026181021,normal,6143.186699,0.0,6143.186699,3520.497731,1734.021845,847.208949,40.497725,0.0,381.478633,5761.708066,206540,7808.0,8,10,True,21,,,,,,,6143.186699,6143.186699,206540.0
IRPP-TD,10,9,256,2026181021,normal,11.949251,0.0,11.949251,7.174297,0.561359,4.102675,0.0,0.0,2.212167,9.737084,86220,1568.0,6,10,True,21,7034.134448,14.0,501.466859,515.031419,4046.0,363893.0,7046.083699,7546.083699,90266.0
RPPS-TDC,10,9,256,2026181022,normal,2795.052269,0.0,2795.052269,1825.570249,191.859195,724.501298,52.750219,0.0,475.659028,2319.393241,158184,6912.0,8,8,True,22,12640.363126,25.0,501.40924,539.07518,74739.0,11399128.0,15435.415395,15435.415395,232923.0
PRTD,10,9,256,2026181022,normal,6175.457422,0.0,6175.457422,3545.958491,1738.445798,849.873444,40.186373,0.0,382.393285,5793.064137,206540,7808.0,8,10,True,22,,,,,,,6175.457422,6175.457422,206540.0
IRPP-TD,10,9,256,2026181022,normal,11.826021,0.0,11.826021,7.522835,0.545064,3.66074,0.0,0.0,1.836149,9.989872,86220,1568.0,6,10,True,22,7054.699731,14.0,501.110571,556.574146,4046.0,363893.0,7066.525752,7566.525752,90266.0
BSIF,10,9,256,2026181022,normal,2453.42157,0.0,2453.42157,1796.624587,515.70295,141.006291,0.0,0.0,0.082381,2453.339189,132272,7324.0,1,7,True,22,11559.554534,23.0,501.42951,514.035824,78449.0,12032928.0,14012.976104000001,14012.976104000001,210721.0
PRTD,10,9,256,2026181023,normal,6188.686034,0.0,6188.686034,3552.261799,1740.862854,854.083864,40.338187,0.0,385.16574,5803.520294,206540,7808.0,8,10,True,23,,,,,,,6188.686034,6188.686034,206540.0
IRPP-TD,10,9,256,2026181023,normal,11.428203,0.0,11.428203,6.970428,0.552148,3.799358,0.0,0.0,1.95237,9.475833,86220,1568.0,6,10,True,23,7208.924347,14.0,501.913648,561.363012,4046.0,363893.0,7220.3525500000005,7720.3525500000005,90266.0
BSIF,10,9,256,2026181023,normal,2542.480581,0.0,2542.480581,1808.660416,530.721336,203.005179,0.0,0.0,0.088143,2542.392438,155504,7324.0,1,10,True,23,11530.077644,23.0,501.238656,533.725353,78449.0,12032928.0,14072.558225,14072.558225,233953.0
RPPS-TDC,10,9,256,2026181023,normal,2781.630196,0.0,2781.630196,1808.474949,191.798131,728.014544,53.009855,0.0,476.805147,2304.825049,158184,6912.0,8,8,True,23,12595.922539,25.0,501.137854,562.477724,74739.0,11399128.0,15377.552735,15377.552735,232923.0
IRPP-TD,10,9,256,2026181024,normal,11.930298,0.0,11.930298,7.588608,0.563669,3.672186,0.0,0.0,1.816494,10.113804,86220,1568.0,6,10,True,24,7034.611065,14.0,501.427418,514.954831,4046.0,363893.0,7046.541363,7546.541363,90266.0
BSIF,10,9,256,2026181024,normal,2496.188679,0.0,2496.188679,1844.092719,511.795098,140.207215,0.0,0.0,0.101451,2496.087228,132272,7324.0,1,7,True,24,11728.012597,23.0,502.319299,561.467101,78449.0,12032928.0,14224.201276,14224.201276,210721.0
