protocol,n,run,audit_mode,phase,tx_index,latency_ms,ledger_bytes,gas_used,block_number,status,tx_hash
RPPS-TDC,27,0,normal,encrypted_upload,26,501.849889,7235,1119312,2892,0,0x55bfd8d1ed4bb949bfc818901b55bd3de9a4605e1bfbb9e95f47cfc819449633
RPPS-TDC,27,0,normal,encrypted_upload,27,501.188043,7235,1119312,2893,0,0xa16cb2c263929583c7b95e6280e0ea34ae7b289df001e27be5dd1ae94c0f0d0b
RPPS-TDC,27,0,normal,trust_update,28,499.781477,225,11089,2894,0,0xa38be823e63aa039eba731c11144570a78b2c1f040ae466d5d918d625a3a061c
RPPS-TDC,27,0,normal,selection,29,499.553362,225,16125,2895,0,0x8b5edf265a4affea776ec34a5096abb2f937f9e80475ab924b8bef90f3b7501e
RPPS-TDC,27,0,normal,result,30,500.606174,225,16102,2896,0,0x89cd8cfed200e4f2504aad8732dde5fdac3329e9ff40a96fd296c83b8da5c8a4
RPPS-TDC,27,0,normal,reputation_update,31,502.768531,88,7486,2897,0,0x7c62251c76f1861cc7a5c4019730f47c7c9b5eee61c1b73039947cb46d293bd2
RPPS-TDC,27,0,normal,reputation_update,32,501.588931,88,7486,2898,0,0xe3a813f6e3327bbfeb4923d07b490e67a888e2411de0ddc8c8c64ef8d123efc7
RPPS-TDC,27,0,normal,reputation_update,33,498.692317,88,7486,2899,0,0xa985362e9fdffa40bd661ff8b4310a78a39dc0d218b064638eec430282c938ce
RPPS-TDC,27,0,normal,reputation_update,34,502.306297,88,7486,2900,0,0x12340d8701991e4de8d37183ce32492b600169d86b213463170d6cabbfd956e6
RPPS-TDC,27,0,normal,reputation_update,35,502.013804,88,7486,2901,0,0xaff53e05638cbef41777241d27ccc9efedd6b40bd526fdd492ec29feb40e8255
RPPS-TDC,27,0,normal,reputation_update,36,500.234377,88,7486,2902,0,0x94fe48820aeaef450b72223584a0af4ea3529063fa6eea295103238da5e159f3
RPPS-TDC,27,0,normal,reputation_update,37,499.911341,88,7486,2903,0,0xebacba01c38052288684338bfde2f477099c6577f9b1185e8efbe66632668149
RPPS-TDC,27,0,normal,reputation_update,38,503.800816,88,7486,2904,0,0xf1e02d4161b52a745afe7df208d832bec1c7e30290e325f63c106133a1e35495
RPPS-TDC,27,0,normal,reputation_update,39,501.745626,88,7486,2905,0,0x41e7883ce9a3e68020dd385f0f53fdd8da1170cf829caae1010bb96972707940
RPPS-TDC,27,0,normal,reputation_update,40,514.548510,88,7486,2906,0,0x2b86c2925e18b32ebe4d95b2c040e25534b51cb9f991e642ee0d085fa7dea062
RPPS-TDC,27,0,normal,reputation_update,41,500.845578,88,7486,2907,0,0xadfcdda4e3cb061f29711e05f1e810556c8835ef5505ed3d730cebee27dc14af
